MTH,DY,COUNT(*),REFERER
1,21,208957,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,22,5000,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,23,456,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,24,49,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,25,9,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,26,14,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,27,27,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,28,5,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
1,29,5,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,2,5,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,13,13,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,14,15,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,15,8,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,16,20,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,17,10,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,18,6,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,19,25,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,20,13,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,24,6,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,25,6,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,26,5,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
2,27,18,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,3,7,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,7,5,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,8,49,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,21,24,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,22,11,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,23,13,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,24,23,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,25,13,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,27,8,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,28,14,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
3,29,21,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,5,30,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,6,12,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,15,13,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,21,10,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,22,16,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,24,7,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,27,43,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
4,30,11,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,3,11,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,4,12,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,7,9,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,8,40,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,9,26,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,11,12,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,12,20,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,13,16,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,14,31,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,16,2,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,18,12,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,19,19,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,22,8,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html
5,26,18,http://www.cnn.com/2017/01/21/politics/trump-women-march-on-washington/index.html